PK;alt
0;299
0,64;302
1,38;314
4,32;418
5,34;464
7,34;478
8,07;485
9,27;450
11,41;457
12,49;471
14,84;569
17,4;520
18,32;525
19,09;529
20,73;547
23,41;497
24,89;478
27,73;404
28,3;407
29,12;393
29,94;352
31,07;377
31,68;377
32,67;347
33,4;311
33,87;294
34,43;264
35,15;228
35,84;201
36,87;191
38,13;189
39,74;188
45,44;197
42,03;196
